state,sex,c34_site,age_group,num_cases,person_years
Alabama,2,101,12,475,874487
Alabama,2,101,13,531,792513
Alabama,2,101,14,684,687840
Alabama,2,101,15,719,519501
Alabama,2,101,16,534,386570
Alabama,2,101,17,320,277171
Alabama,2,101,18,189,288560
Alabama,2,101,19,0,0
Alabama,1,102,1,0,748751
Alabama,1,102,2,0,776383
Alabama,1,102,3,0,792473
Alabama,1,102,4,0,811958
Alabama,1,102,5,0,867073
Alabama,1,102,6,0,803453
Alabama,1,102,7,0,747581
Alabama,1,102,8,2,720894
Alabama,1,102,9,3,736737
Alabama,1,102,10,6,763736
Alabama,1,102,11,21,817501
Alabama,1,102,12,40,806290
Alabama,1,102,13,74,710285
Alabama,1,102,14,69,602518
Alabama,1,102,15,55,432262
Alabama,1,102,16,49,293645
Alabama,1,102,17,36,185331
Alabama,1,102,18,15,138559
Alabama,1,102,19,0,0
Alabama,2,102,1,0,722286
Alabama,2,102,2,0,746955
Alabama,2,102,3,0,762052
Alabama,2,102,4,0,785795
Alabama,2,102,5,1,855155
Alabama,2,102,6,0,820403
Alabama,2,102,7,2,778991
Alabama,2,102,8,3,761761
Alabama,2,102,9,7,777854
Alabama,2,102,10,7,801130
Alabama,2,102,11,16,867784
Alabama,2,102,12,56,874487
Alabama,2,102,13,50,792513
Alabama,2,102,14,75,687840
Alabama,2,102,15,70,519501
Alabama,2,102,16,48,386570
Alabama,2,102,17,23,277171
Alabama,2,102,18,10,288560
Alabama,2,102,19,0,0
Alabama,1,103,1,0,748751
Alabama,1,103,2,0,776383
Alabama,1,103,3,1,792473
Alabama,1,103,4,0,811958
Alabama,1,103,5,0,867073
Alabama,1,103,6,1,803453
Alabama,1,103,7,5,747581
Alabama,1,103,8,6,720894
Alabama,1,103,9,11,736737
Alabama,1,103,10,24,763736
Alabama,1,103,11,115,817501
Alabama,1,103,12,219,806290
Alabama,1,103,13,327,710285
Alabama,1,103,14,476,602518
Alabama,1,103,15,487,432262
Alabama,1,103,16,394,293645
Alabama,1,103,17,275,185331
Alabama,1,103,18,136,138559
Alabama,1,103,19,0,0
Alabama,2,103,1,0,722286
Alabama,2,103,2,0,746955
Alabama,2,103,3,0,762052
Alabama,2,103,4,0,785795
Alabama,2,103,5,3,855155
Alabama,2,103,6,1,820403
Alabama,2,103,7,4,778991
Alabama,2,103,8,3,761761
Alabama,2,103,9,10,777854
Alabama,2,103,10,40,801130
Alabama,2,103,11,106,867784
Alabama,2,103,12,200,874487
Alabama,2,103,13,298,792513
Alabama,2,103,14,362,687840
Alabama,2,103,15,388,519501
Alabama,2,103,16,311,386570
Alabama,2,103,17,188,277171
Alabama,2,103,18,89,288560
Alabama,2,103,19,0,0
Alabama,1,104,1,0,748751
Alabama,1,104,2,0,776383
Alabama,1,104,3,1,792473
Alabama,1,104,4,0,811958
Alabama,1,104,5,1,867073
Alabama,1,104,6,0,803453
Alabama,1,104,7,1,747581
Alabama,1,104,8,9,720894
Alabama,1,104,9,23,736737
Alabama,1,104,10,55,763736
Alabama,1,104,11,177,817501
Alabama,1,104,12,304,806290
Alabama,1,104,13,384,710285
Alabama,1,104,14,453,602518
Alabama,1,104,15,433,432262
Alabama,1,104,16,371,293645
Alabama,1,104,17,315,185331
Alabama,1,104,18,234,138559
Alabama,1,104,19,0,0
Alabama,2,104,1,0,722286
Alabama,2,104,2,0,746955
Alabama,2,104,3,1,762052
Alabama,2,104,4,0,785795
Alabama,2,104,5,0,855155
Alabama,2,104,6,1,820403
Alabama,2,104,7,2,778991
Alabama,2,104,8,8,761761
Alabama,2,104,9,12,777854
Alabama,2,104,10,46,801130
Alabama,2,104,11,106,867784
Alabama,2,104,12,211,874487
Alabama,2,104,13,220,792513
Alabama,2,104,14,280,687840
Alabama,2,104,15,316,519501
Alabama,2,104,16,280,386570
Alabama,2,104,17,199,277171
Alabama,2,104,18,247,288560
Alabama,2,104,19,0,0
Alaska,1,91,1,0,140875
Alaska,1,91,2,0,134544
Alaska,1,91,3,0,127956
Alaska,1,91,4,0,125096
Alaska,1,91,5,0,166937
